date,sales
2013-01-01,4965.014
2013-01-02,4965.014
2013-01-03,4484.828
2013-01-04,3838.0269999999996
2013-01-05,5314.727
2013-01-06,5014.7370005
2013-01-07,4497.295
2013-01-08,4646.064999999999
2013-01-09,3339.504
2013-01-10,3263.473
2013-01-11,3540.1530000000002
2013-01-12,4949.4310000000005
2013-01-13,5254.032
2013-01-14,4145.396
2013-01-15,4590.991
2013-01-16,3856.5789979999995
2013-01-17,3309.084999
2013-01-18,3206.848
2013-01-19,4728.7699999999995
2013-01-20,4750.401
2013-01-21,5009.322
2013-01-22,4149.043
2013-01-23,3147.638
2013-01-24,3079.553
2013-01-25,3414.325997
2013-01-26,5778.2789999999995
2013-01-27,4514.258
2013-01-28,4073.79
2013-01-29,3950.945998
2013-01-30,3480.734
2013-01-31,3751.416
2013-02-01,4578.485000999999
2013-02-02,6427.3189999999995
2013-02-03,4885.45
2013-02-04,5345.356
2013-02-05,4315.388
2013-02-06,3198.786
2013-02-07,3490.283
2013-02-08,3926.493
2013-02-09,5651.63
2013-02-10,3491.296
2013-02-11,2274.261
2013-02-12,2688.982
2013-02-13,4880.901
2013-02-14,4229.058000000001
2013-02-15,4244.401997999999
2013-02-16,5807.746
2013-02-17,4561.027999999999
2013-02-18,4689.366
2013-02-19,4466.2300000000005
2013-02-20,4092.159
2013-02-21,3543.749
2013-02-22,3927.329
2013-02-23,4833.048998
2013-02-24,4716.669999999999
2013-02-25,4790.2429999999995
2013-02-26,3642.443
2013-02-27,3769.8409989999996
2013-02-28,4096.781
2013-03-01,4540.716
2013-03-02,6205.504000000001
2013-03-03,5269.538
2013-03-04,5555.438
2013-03-05,4980.16
2013-03-06,3879.9950000000003
2013-03-07,4111.313
2013-03-08,3437.966001
2013-03-09,4829.773999999999
2013-03-10,5047.084
2013-03-11,4929.958
2013-03-12,4282.805
2013-03-13,3488.688004
2013-03-14,3622.1760050000003
2013-03-15,3889.521
2013-03-16,5532.413
2013-03-17,5504.165
2013-03-18,5281.664000000001
2013-03-19,4209.68
2013-03-20,4480.78
2013-03-21,3776.767
2013-03-22,4161.072
2013-03-23,4787.218997999999
2013-03-24,4589.714999999999
2013-03-25,4584.399
2013-03-26,4231.077999
2013-03-27,3872.0499999999997
2013-03-28,4544.559
2013-03-29,3002.258
2013-03-30,5756.802004
2013-03-31,5209.579
2013-04-01,6387.419
2013-04-02,6182.776999999999
2013-04-03,4816.6269999999995
2013-04-04,4664.089999999999
2013-04-05,4589.6570010000005
2013-04-06,6003.607004
2013-04-07,5606.696
2013-04-08,5876.559
2013-04-09,5124.984005
2013-04-10,4061.048
2013-04-11,4475.036
2013-04-12,4604.551002
2013-04-13,6056.630996
2013-04-14,4970.761001999999
2013-04-15,6005.667
2013-04-16,5326.177000000001
2013-04-17,4449.315996
2013-04-18,3881.423
2013-04-19,4774.461
2013-04-20,5555.611998
2013-04-21,5790.558
2013-04-22,5539.282
2013-04-23,4331.213999999999
